Area,Size_sqft,Bedrooms,Bathrooms,Amenities,Furnishing,View,Developer,YearBuilt,ParkingSpaces,AnnualRent,PropertyValuation,PropertyType
Dubai Marina,2086,2,1,"Balcony, Parking, Pool",Semi-Furnished,City,Meraas,2020,3,106190,1844106,Townhouse
Dubai Marina,532,1,2,"Parking, Pool, Pet Friendly, Maid Room, Gym, Security",Semi-Furnished,Sea,Nakheel,2018,2,37441,722109,Apartment
JVC,1273,1,1,"Parking, Security, Maid Room, Balcony",Furnished,Sea,Azizi,2019,3,55761,1141407,Apartment
The Springs,2781,2,1,"Pet Friendly, Parking, Balcony, Pool, Security",Furnished,None,Emaar,2012,3,181597,3223490,Townhouse
Palm Jumeirah,1558,3,3,"Security, Parking, Gym, Smart Home, Maid Room, Pool",Furnished,City,Emaar,2015,3,88356,1536104,Apartment
Business Bay,2005,2,3,"Security, Gym, Pet Friendly, Pool",Unfurnished,Street,Damac,2005,1,102958,2078285,Townhouse
Arabian Ranches,1857,4,5,"Parking, Balcony, Pet Friendly, Smart Home, Security",Semi-Furnished,Park,Sobha,2001,1,92293,1589903,Townhouse
JVC,401,2,3,"Parking, Kids Area, Smart Home, Pool",Semi-Furnished,Sea,Emaar,2004,3,22424,506766,Apartment
Dubai Marina,2547,2,2,"Pool, Kids Area, Parking, Pet Friendly, Maid Room, Security",Unfurnished,Street,Meraas,2015,3,174202,2845720,Townhouse
Arabian Ranches,1606,1,1,"Security, Parking, Pool, Kids Area, Gym",Unfurnished,None,Sobha,2024,3,67700,1165805,Apartment
Business Bay,2926,6,5,"Pool, Balcony, Parking, Pet Friendly, Maid Room",Unfurnished,Sea,Meraas,2021,3,224058,4474690,Villa
JVC,911,3,2,"Security, Pool, Kids Area, Gym, Pet Friendly",Semi-Furnished,Street,Meraas,2013,1,70263,1282361,Apartment
The Springs,1168,1,1,"Parking, Smart Home, Gym, Pet Friendly",Semi-Furnished,Sea,Damac,2008,1,40003,886932,Apartment
The Springs,553,3,2,"Smart Home, Gym, Balcony, Kids Area, Pool",Unfurnished,Street,Nakheel,2001,1,36940,533576,Apartment
The Springs,5457,5,6,"Security, Balcony, Gym, Pet Friendly, Smart Home",Unfurnished,None,Sobha,2004,1,334647,6334643,Villa
JLT,3080,4,4,"Pool, Gym, Maid Room, Pet Friendly",Unfurnished,City,Emaar,2015,1,177254,3413728,Townhouse
Palm Jumeirah,2342,2,3,"Parking, Kids Area, Balcony, Maid Room, Pool, Pet Friendly",Furnished,City,Sobha,2014,2,115502,2403459,Townhouse
JVC,1826,3,2,"Kids Area, Pet Friendly, Smart Home",Unfurnished,Park,Azizi,2001,2,130016,2473726,Apartment
Palm Jumeirah,882,2,2,"Pet Friendly, Gym, Security",Unfurnished,None,Azizi,2021,3,49402,721439,Apartment
Palm Jumeirah,742,1,1,"Gym, Pet Friendly, Maid Room, Kids Area",Semi-Furnished,Park,Meraas,2004,3,45274,672481,Apartment
Dubai Marina,1539,2,3,"Security, Smart Home, Pet Friendly, Gym, Maid Room",Unfurnished,None,Sobha,2003,2,71904,1261539,Apartment
Dubai Marina,2952,2,2,"Pet Friendly, Security, Balcony, Kids Area, Maid Room",Unfurnished,None,Sobha,2001,1,140685,3174622,Townhouse
The Springs,1078,3,2,"Smart Home, Security, Parking",Furnished,City,Damac,2009,2,97402,1481470,Apartment
Dubai Marina,2266,2,2,"Kids Area, Security, Maid Room, Balcony, Smart Home, Gym",Furnished,Street,Nakheel,2013,3,161523,2910587,Townhouse
Arabian Ranches,2855,2,1,"Maid Room, Pet Friendly, Pool, Security, Kids Area",Furnished,Park,Nakheel,2006,1,160881,2996294,Townhouse
Arabian Ranches,3622,5,5,"Pool, Gym, Maid Room, Parking, Balcony, Security",Furnished,Street,Azizi,2017,2,269927,4144469,Villa
JLT,5321,3,3,"Pet Friendly, Gym, Pool",Unfurnished,Park,Nakheel,2020,1,377985,7862816,Villa
The Springs,1998,3,2,"Parking, Maid Room, Security, Gym, Pool, Smart Home",Unfurnished,City,Meraas,2022,3,122948,1838765,Apartment
Arabian Ranches,846,2,2,"Pool, Gym, Security, Kids Area, Parking, Pet Friendly",Semi-Furnished,Sea,Sobha,2002,2,74680,1261122,Apartment
JLT,1856,3,3,"Parking, Balcony, Gym, Security",Semi-Furnished,City,Meraas,2004,3,73429,1336995,Apartment
JLT,1257,2,2,"Balcony, Kids Area, Smart Home",Unfurnished,Park,Meraas,2017,3,112162,1669192,Apartment
Arabian Ranches,748,3,4,"Security, Pool, Balcony, Smart Home",Unfurnished,City,Meraas,2017,1,73032,1090238,Apartment
Dubai Marina,857,3,3,"Kids Area, Maid Room, Parking, Security, Pet Friendly, Balcony",Furnished,Street,Emaar,2020,3,58488,997762,Apartment
Palm Jumeirah,2824,2,3,"Maid Room, Security, Balcony, Gym, Pool, Smart Home",Furnished,City,Sobha,2018,2,175460,2663665,Townhouse
Downtown,4497,5,6,"Kids Area, Gym, Smart Home, Balcony",Semi-Furnished,Park,Nakheel,2018,1,364812,5799228,Villa
Dubai Marina,1288,3,3,"Pet Friendly, Smart Home, Balcony, Gym, Kids Area, Pool",Unfurnished,City,Emaar,2010,3,66210,1097970,Apartment
Business Bay,1105,2,1,"Pet Friendly, Security, Pool",Furnished,Sea,Damac,2009,2,82026,1416903,Apartment
Arabian Ranches,1806,1,1,"Kids Area, Balcony, Pool, Smart Home, Gym, Pet Friendly",Furnished,Park,Nakheel,2023,1,95375,2116188,Apartment
Arabian Ranches,5744,3,3,"Maid Room, Gym, Security, Smart Home, Kids Area",Unfurnished,Sea,Emaar,2022,1,359295,6989158,Villa
JLT,713,1,2,"Security, Pet Friendly, Kids Area",Furnished,None,Damac,2019,3,47244,898794,Apartment
Dubai Marina,1665,1,1,"Pool, Smart Home, Maid Room",Unfurnished,Park,Damac,2016,1,85877,1642251,Apartment
Downtown,1416,1,2,"Kids Area, Balcony, Gym, Pet Friendly, Maid Room, Security",Unfurnished,Street,Nakheel,2002,3,66410,1076214,Apartment
JLT,4370,5,5,"Gym, Pool, Pet Friendly, Smart Home, Maid Room, Parking",Semi-Furnished,City,Sobha,2023,1,245409,3911143,Villa
JVC,683,3,4,"Kids Area, Maid Room, Balcony, Security",Semi-Furnished,Sea,Damac,2010,1,28099,540297,Apartment
Palm Jumeirah,1189,3,3,"Parking, Pool, Smart Home, Kids Area, Gym, Pet Friendly",Furnished,Street,Azizi,2015,3,67138,1477587,Apartment
The Springs,5004,3,4,"Smart Home, Maid Room, Gym, Balcony",Semi-Furnished,Sea,Emaar,2008,3,340878,5575646,Villa
Business Bay,3171,3,4,"Pet Friendly, Balcony, Smart Home",Semi-Furnished,Street,Nakheel,2017,3,160698,2709829,Townhouse
Downtown,1361,2,1,"Smart Home, Kids Area, Pool",Semi-Furnished,City,Emaar,2016,1,79713,1552079,Apartment
Business Bay,1309,3,3,"Smart Home, Maid Room, Parking",Furnished,Street,Meraas,2020,1,53615,1023788,Apartment
JVC,3421,4,5,"Maid Room, Balcony, Kids Area, Pet Friendly, Smart Home",Semi-Furnished,City,Emaar,2007,2,244053,3872478,Townhouse
Palm Jumeirah,3988,6,5,"Balcony, Gym, Parking",Semi-Furnished,City,Azizi,2016,2,247841,5990359,Villa
Downtown,1868,3,4,"Pool, Security, Smart Home, Maid Room, Kids Area, Gym",Semi-Furnished,Park,Sobha,2006,3,113676,1812607,Apartment
JVC,3176,4,3,"Smart Home, Parking, Balcony, Gym, Security, Kids Area",Unfurnished,Street,Azizi,2015,3,337975,5021514,Townhouse
Downtown,3025,3,3,"Maid Room, Pet Friendly, Balcony, Security, Pool",Semi-Furnished,Street,Damac,2009,2,214304,4854510,Villa
JLT,2921,3,4,"Balcony, Maid Room, Security, Kids Area",Semi-Furnished,City,Meraas,2004,3,291203,4235702,Townhouse
Arabian Ranches,5616,5,6,"Pet Friendly, Security, Maid Room, Balcony, Gym, Smart Home",Furnished,Street,Nakheel,2001,3,230958,4810692,Villa
Downtown,3199,3,2,"Security, Balcony, Pet Friendly",Unfurnished,Sea,Damac,2014,1,273011,4530132,Townhouse
Business Bay,4798,6,5,"Gym, Pet Friendly, Balcony, Smart Home, Parking",Unfurnished,Sea,Emaar,2023,2,317960,4812812,Villa
Palm Jumeirah,3097,4,5,"Maid Room, Balcony, Pet Friendly, Kids Area, Pool",Semi-Furnished,Street,Nakheel,2021,1,138203,3056666,Townhouse
Dubai Marina,1277,2,3,"Parking, Maid Room, Security, Smart Home, Gym",Semi-Furnished,Street,Meraas,2004,1,52208,1050923,Apartment
JVC,5061,5,5,"Pool, Kids Area, Security, Maid Room, Smart Home",Unfurnished,Sea,Azizi,2005,2,354157,6797328,Villa
Arabian Ranches,836,3,3,"Kids Area, Security, Pool, Smart Home, Maid Room",Semi-Furnished,None,Meraas,2000,1,55109,1032586,Apartment
Business Bay,3197,3,3,"Pet Friendly, Security, Smart Home",Unfurnished,City,Emaar,2016,2,232202,4201846,Townhouse
Palm Jumeirah,1734,1,1,"Pool, Parking, Pet Friendly",Unfurnished,None,Emaar,2020,1,88693,1506196,Apartment
Business Bay,2668,2,1,"Pool, Parking, Gym, Balcony, Smart Home, Pet Friendly",Furnished,Sea,Emaar,2005,2,207433,3623368,Townhouse
Business Bay,2634,3,3,"Pet Friendly, Kids Area, Gym, Balcony, Maid Room, Security",Unfurnished,None,Emaar,2024,3,222727,3649691,Townhouse
Dubai Marina,1429,1,1,"Pool, Security, Pet Friendly, Balcony, Kids Area",Semi-Furnished,Sea,Sobha,2005,3,78106,1251650,Apartment
JLT,2095,3,4,"Gym, Parking, Maid Room, Pet Friendly, Kids Area",Unfurnished,None,Sobha,2017,3,179851,3659921,Townhouse
Arabian Ranches,1722,3,2,"Parking, Balcony, Security, Maid Room",Furnished,Sea,Nakheel,2021,3,155953,2379461,Apartment
Palm Jumeirah,2799,5,6,"Security, Pool, Smart Home",Unfurnished,None,Sobha,2010,2,155011,2598074,Villa
Dubai Marina,542,1,1,"Smart Home, Kids Area, Security, Maid Room, Parking, Pool",Unfurnished,None,Damac,2010,2,22352,452522,Apartment
Business Bay,5124,6,6,"Parking, Kids Area, Balcony, Pet Friendly, Smart Home",Semi-Furnished,City,Sobha,2017,1,290985,4999846,Villa
JLT,2086,4,3,"Pool, Maid Room, Gym, Security, Pet Friendly",Unfurnished,None,Sobha,2024,3,86827,2112618,Townhouse
JLT,1505,2,3,"Kids Area, Pet Friendly, Pool, Security",Unfurnished,City,Nakheel,2014,3,86576,1668036,Apartment
JVC,5973,4,5,"Smart Home, Parking, Pool, Security",Unfurnished,Park,Meraas,2023,2,428120,10388093,Villa
Palm Jumeirah,941,2,1,"Balcony, Kids Area, Maid Room",Semi-Furnished,Street,Emaar,2001,3,55163,902660,Apartment
JLT,2339,4,5,"Pet Friendly, Maid Room, Parking, Security",Unfurnished,Sea,Azizi,2008,2,193577,4146284,Townhouse
The Springs,1106,2,2,"Maid Room, Parking, Balcony",Furnished,Park,Emaar,2016,3,45515,1022660,Apartment
Downtown,1869,1,2,"Pet Friendly, Kids Area, Smart Home, Gym",Semi-Furnished,Street,Sobha,2006,3,100712,1549395,Apartment
JVC,661,3,4,"Parking, Gym, Security, Pool",Furnished,Park,Damac,2005,3,56207,969416,Apartment
JVC,3290,4,4,"Balcony, Smart Home, Security",Semi-Furnished,Street,Nakheel,2007,2,294216,4608759,Townhouse
Downtown,4592,5,4,"Smart Home, Pool, Maid Room, Balcony, Kids Area",Furnished,Sea,Emaar,2006,3,420143,7620845,Villa
The Springs,3040,2,1,"Gym, Pool, Maid Room, Balcony, Smart Home, Pet Friendly",Unfurnished,Street,Azizi,2013,2,310219,5091465,Townhouse
The Springs,1387,2,2,"Pet Friendly, Parking, Smart Home",Semi-Furnished,Park,Emaar,2009,3,101579,1943759,Apartment
Business Bay,1922,1,2,"Maid Room, Gym, Balcony",Unfurnished,Park,Meraas,2010,2,84930,1902426,Apartment
JLT,1497,2,3,"Security, Pet Friendly, Smart Home, Pool, Balcony",Unfurnished,None,Sobha,2005,2,93624,1717470,Apartment
JLT,1985,3,3,"Pool, Balcony, Smart Home, Kids Area",Furnished,Sea,Nakheel,2016,2,168886,2637796,Apartment
JVC,1702,1,1,"Smart Home, Pet Friendly, Gym, Maid Room",Semi-Furnished,Park,Damac,2002,3,64041,1242807,Apartment
The Springs,4634,5,6,"Parking, Smart Home, Balcony",Furnished,Park,Meraas,2016,2,292799,4609655,Villa
Business Bay,5260,3,3,"Gym, Parking, Maid Room, Smart Home",Semi-Furnished,City,Meraas,2012,2,404873,7290781,Villa
Dubai Marina,2925,3,4,"Kids Area, Security, Pool, Smart Home, Pet Friendly",Semi-Furnished,Street,Azizi,2000,2,157392,2851976,Townhouse
Dubai Marina,1096,1,2,"Maid Room, Security, Kids Area, Balcony, Pet Friendly",Unfurnished,Street,Nakheel,2024,2,86563,1610014,Apartment
Palm Jumeirah,1856,3,2,"Pool, Pet Friendly, Kids Area, Maid Room, Smart Home",Semi-Furnished,Street,Damac,2016,3,97632,1502846,Townhouse
Business Bay,1217,3,4,"Pool, Parking, Balcony, Smart Home, Kids Area",Furnished,None,Damac,2005,3,102088,1516973,Apartment
Palm Jumeirah,3461,4,4,"Balcony, Maid Room, Pet Friendly, Pool",Unfurnished,City,Nakheel,2024,1,134844,3183699,Villa
Palm Jumeirah,5630,3,3,"Kids Area, Smart Home, Security, Parking, Balcony",Furnished,None,Damac,2012,1,382675,8727453,Villa
The Springs,1507,1,2,"Pet Friendly, Parking, Balcony, Gym, Security",Semi-Furnished,City,Meraas,2000,1,95962,1867598,Apartment
Dubai Marina,1654,2,1,"Balcony, Security, Maid Room, Smart Home, Parking",Semi-Furnished,Park,Sobha,2013,1,107134,1712343,Apartment
Arabian Ranches,2372,3,2,"Balcony, Pool, Kids Area, Parking",Furnished,None,Sobha,2012,1,154298,2243541,Townhouse
Downtown,419,1,1,"Parking, Kids Area, Pet Friendly, Balcony, Maid Room, Security",Unfurnished,None,Emaar,2012,1,21935,524770,Apartment
JLT,1689,1,1,"Security, Kids Area, Parking, Maid Room, Smart Home",Semi-Furnished,City,Emaar,2013,1,100043,1656693,Apartment
Business Bay,1730,3,4,"Security, Kids Area, Parking, Smart Home",Unfurnished,Street,Meraas,2014,1,84478,1738402,Apartment
Downtown,3111,3,3,"Pool, Maid Room, Smart Home, Parking, Pet Friendly, Kids Area",Semi-Furnished,City,Meraas,2008,3,216343,4494288,Townhouse
Palm Jumeirah,3987,6,6,"Parking, Gym, Pool, Kids Area",Furnished,City,Meraas,2022,3,157922,3508818,Villa
Dubai Marina,1369,3,2,"Pet Friendly, Pool, Gym",Semi-Furnished,None,Nakheel,2002,3,102283,1978576,Apartment
Business Bay,981,2,3,"Parking, Maid Room, Gym, Pet Friendly",Unfurnished,City,Damac,2015,2,81620,1451865,Apartment
JLT,676,3,4,"Smart Home, Pet Friendly, Security, Kids Area",Unfurnished,None,Damac,2011,2,49071,765052,Apartment
Palm Jumeirah,1244,2,1,"Gym, Maid Room, Security, Pool, Parking",Semi-Furnished,Street,Azizi,2000,3,122346,1788462,Apartment
Palm Jumeirah,1968,2,2,"Gym, Kids Area, Pool, Balcony",Unfurnished,Street,Sobha,2007,1,148639,2503198,Apartment
The Springs,562,2,3,"Maid Room, Security, Parking, Kids Area",Unfurnished,None,Damac,2013,1,35337,777125,Apartment
JLT,1332,3,3,"Smart Home, Balcony, Parking, Gym, Pool",Furnished,None,Emaar,2005,1,53946,1233021,Apartment
Palm Jumeirah,3453,3,2,"Smart Home, Balcony, Parking",Semi-Furnished,City,Sobha,2011,2,211677,5168915,Villa
Dubai Marina,2099,2,2,"Pool, Smart Home, Maid Room, Pet Friendly, Parking, Balcony",Furnished,Sea,Meraas,2007,2,175746,3298001,Townhouse
JVC,1905,1,2,"Smart Home, Pet Friendly, Kids Area, Parking",Semi-Furnished,Park,Meraas,2023,1,139436,2468460,Apartment
Dubai Marina,1707,2,1,"Gym, Balcony, Maid Room, Pool, Smart Home",Semi-Furnished,Sea,Nakheel,2008,3,86488,1358293,Apartment
JVC,2990,4,4,"Kids Area, Pool, Smart Home, Pet Friendly",Semi-Furnished,Sea,Meraas,2019,2,361796,5175237,Townhouse
JVC,1720,1,2,"Parking, Smart Home, Pool",Semi-Furnished,None,Meraas,2024,2,122930,2312402,Apartment
Business Bay,1173,2,3,"Security, Gym, Balcony, Kids Area",Semi-Furnished,None,Damac,2017,3,73018,1281002,Apartment
Arabian Ranches,1359,2,3,"Pool, Parking, Balcony, Smart Home",Semi-Furnished,None,Damac,2014,1,99039,1794877,Apartment
Downtown,3069,3,4,"Kids Area, Pool, Maid Room, Security",Semi-Furnished,Park,Azizi,2021,2,214428,4805237,Townhouse
JLT,1712,2,1,"Maid Room, Pool, Gym",Furnished,Park,Emaar,2006,1,80046,1863163,Apartment
The Springs,4653,5,4,"Balcony, Pool, Gym, Smart Home, Maid Room",Furnished,Street,Meraas,2001,2,430613,6318866,Villa
The Springs,3426,4,3,"Maid Room, Gym, Kids Area, Smart Home, Parking",Furnished,Park,Azizi,2003,1,292351,5225239,Townhouse
Business Bay,1745,1,2,"Maid Room, Pet Friendly, Kids Area, Gym",Unfurnished,None,Damac,2021,2,116306,2202260,Apartment
Dubai Marina,769,3,3,"Parking, Smart Home, Maid Room, Pet Friendly, Security",Semi-Furnished,City,Sobha,2024,3,49618,803197,Apartment
Business Bay,838,2,3,"Kids Area, Smart Home, Balcony, Pet Friendly, Gym",Unfurnished,Sea,Damac,2019,1,65167,933605,Apartment
JLT,854,1,1,"Security, Parking, Gym",Furnished,Street,Damac,2004,1,51939,778839,Apartment
Business Bay,1015,1,2,"Balcony, Pool, Kids Area, Parking, Maid Room, Smart Home",Semi-Furnished,None,Emaar,2019,3,59101,954419,Apartment
The Springs,514,2,2,"Pet Friendly, Pool, Maid Room, Smart Home, Security, Gym",Unfurnished,Street,Emaar,2009,3,21171,376734,Apartment
Downtown,1829,1,1,"Pet Friendly, Smart Home, Maid Room",Unfurnished,None,Azizi,2002,1,121605,1912308,Apartment
Downtown,569,2,3,"Maid Room, Pet Friendly, Parking",Furnished,Street,Azizi,2013,3,20157,457646,Apartment
Business Bay,1735,3,2,"Balcony, Pool, Parking, Maid Room",Semi-Furnished,None,Emaar,2003,3,91141,1788551,Apartment
Business Bay,1616,3,2,"Parking, Kids Area, Security, Balcony, Pet Friendly",Furnished,Street,Emaar,2007,1,90129,2017232,Apartment
Dubai Marina,511,1,2,"Security, Gym, Parking, Kids Area",Furnished,City,Sobha,2015,1,30687,493371,Apartment
Business Bay,1471,2,3,"Parking, Gym, Balcony, Security, Kids Area, Smart Home",Semi-Furnished,Park,Emaar,2009,1,114643,1958417,Apartment
JVC,417,1,1,"Kids Area, Pool, Gym, Parking, Balcony",Furnished,Street,Azizi,2022,1,32365,593431,Apartment
Dubai Marina,1425,2,3,"Gym, Balcony, Security",Semi-Furnished,City,Sobha,2012,3,59298,1176485,Apartment
Arabian Ranches,1019,1,2,"Gym, Security, Balcony, Maid Room, Smart Home",Semi-Furnished,Park,Nakheel,2010,2,53242,1248830,Apartment
The Springs,1788,3,4,"Pet Friendly, Balcony, Security, Pool",Semi-Furnished,City,Azizi,2010,2,93662,2027211,Apartment
Downtown,1800,1,1,"Maid Room, Parking, Balcony, Pool, Security",Furnished,City,Emaar,2017,3,114365,2625986,Apartment
Arabian Ranches,2098,4,3,"Pet Friendly, Maid Room, Parking, Balcony, Smart Home",Furnished,Park,Emaar,2004,1,120605,1733363,Townhouse
JLT,5008,4,5,"Balcony, Gym, Parking, Smart Home",Unfurnished,Street,Nakheel,2016,3,377978,6353967,Villa
Downtown,2806,3,2,"Balcony, Maid Room, Gym, Smart Home",Furnished,City,Sobha,2007,3,190265,4128577,Townhouse
Business Bay,1299,3,3,"Smart Home, Balcony, Maid Room, Pet Friendly, Gym",Unfurnished,Street,Meraas,2010,2,96199,1544775,Apartment
JVC,1324,2,1,"Maid Room, Pet Friendly, Kids Area, Gym",Unfurnished,Street,Azizi,2024,3,88940,1946377,Apartment
Palm Jumeirah,1023,2,2,"Pet Friendly, Security, Smart Home, Gym",Unfurnished,None,Nakheel,2014,3,66969,1085769,Apartment
Dubai Marina,1598,3,4,"Pet Friendly, Maid Room, Parking, Balcony",Furnished,Park,Sobha,2018,3,150488,2263784,Apartment
Dubai Marina,1816,3,4,"Pool, Maid Room, Gym, Kids Area",Semi-Furnished,City,Emaar,2016,3,116578,1829202,Apartment
Downtown,1179,1,1,"Parking, Maid Room, Pet Friendly, Pool, Kids Area",Unfurnished,Sea,Sobha,2009,2,104206,1513988,Apartment
JLT,2981,4,3,"Security, Gym, Balcony",Semi-Furnished,Street,Azizi,2000,3,236442,5016137,Villa
Palm Jumeirah,1304,1,2,"Balcony, Security, Smart Home",Unfurnished,None,Nakheel,2001,1,63618,1067460,Apartment
JVC,466,3,4,"Kids Area, Pool, Gym, Pet Friendly, Balcony",Furnished,Park,Meraas,2009,3,34925,572592,Apartment
Downtown,3334,4,4,"Pool, Security, Parking",Semi-Furnished,Street,Emaar,2024,2,229823,5478794,Townhouse
Palm Jumeirah,1822,2,2,"Maid Room, Balcony, Kids Area, Pool, Security, Gym",Furnished,None,Meraas,2020,3,147957,2714327,Apartment
JLT,1048,2,3,"Parking, Smart Home, Security, Kids Area, Balcony",Semi-Furnished,Park,Azizi,2007,3,44759,977145,Apartment
Dubai Marina,1680,1,2,"Pet Friendly, Maid Room, Gym, Parking",Semi-Furnished,None,Meraas,2006,1,123646,2036991,Apartment
JLT,3760,5,6,"Gym, Pool, Kids Area, Parking, Pet Friendly",Semi-Furnished,None,Azizi,2000,1,242992,3737498,Villa
Palm Jumeirah,3432,2,3,"Smart Home, Parking, Kids Area, Balcony",Unfurnished,City,Sobha,2013,3,163440,2937868,Townhouse
Arabian Ranches,438,1,2,"Kids Area, Pool, Smart Home, Parking, Gym",Semi-Furnished,Street,Meraas,2017,1,26188,506671,Apartment
Dubai Marina,3339,3,4,"Gym, Security, Balcony, Maid Room, Pet Friendly",Furnished,City,Sobha,2009,1,200210,4424510,Townhouse
Arabian Ranches,5685,4,3,"Maid Room, Gym, Pet Friendly, Balcony, Security, Pool",Furnished,City,Sobha,2023,3,314484,6312389,Villa
Dubai Marina,2857,4,3,"Gym, Smart Home, Balcony, Kids Area",Unfurnished,Sea,Emaar,2009,1,245685,4248508,Townhouse
Dubai Marina,494,1,2,"Gym, Security, Kids Area, Pool, Parking",Furnished,Park,Damac,2008,3,25122,471927,Apartment
Dubai Marina,722,2,1,"Maid Room, Pool, Smart Home",Unfurnished,City,Azizi,2010,2,35893,587163,Apartment
JLT,750,1,1,"Maid Room, Smart Home, Gym, Pool, Pet Friendly",Semi-Furnished,Sea,Emaar,2012,1,29847,576671,Apartment
Palm Jumeirah,3779,5,4,"Smart Home, Parking, Gym",Unfurnished,Street,Emaar,2014,2,343919,5609842,Villa
Palm Jumeirah,858,1,2,"Kids Area, Pet Friendly, Pool, Maid Room, Parking",Semi-Furnished,Street,Sobha,2000,1,46846,926869,Apartment
Palm Jumeirah,2378,3,4,"Maid Room, Pool, Balcony, Kids Area",Furnished,City,Azizi,2020,1,211994,3786800,Townhouse
The Springs,888,3,2,"Smart Home, Pet Friendly, Gym, Parking",Furnished,None,Sobha,2013,3,66527,1180916,Apartment
Business Bay,1771,1,2,"Pool, Smart Home, Parking, Security, Gym, Balcony",Furnished,City,Sobha,2002,3,89789,1393769,Apartment
The Springs,1720,3,2,"Balcony, Parking, Security",Unfurnished,Sea,Nakheel,2021,1,89071,1827292,Apartment
Palm Jumeirah,1795,2,2,"Pet Friendly, Kids Area, Gym, Security, Maid Room",Unfurnished,None,Sobha,2004,2,90233,1346121,Apartment
JVC,1546,2,1,"Gym, Balcony, Smart Home, Kids Area, Security",Semi-Furnished,City,Meraas,2012,2,87580,1554119,Apartment
Downtown,785,3,3,"Pet Friendly, Parking, Smart Home, Kids Area, Pool",Furnished,Sea,Emaar,2020,1,42585,639929,Apartment
The Springs,2078,2,1,"Smart Home, Pet Friendly, Security, Pool, Balcony, Maid Room",Unfurnished,Street,Sobha,2011,1,119092,2048473,Townhouse
Palm Jumeirah,2284,4,5,"Pet Friendly, Kids Area, Gym, Maid Room, Security",Semi-Furnished,City,Emaar,2018,2,170617,4023809,Townhouse
JLT,560,3,4,"Balcony, Smart Home, Kids Area",Unfurnished,Sea,Meraas,2020,3,37008,749548,Apartment
JVC,2895,2,2,"Maid Room, Smart Home, Security, Kids Area, Parking, Balcony",Semi-Furnished,City,Damac,2005,1,250727,4328173,Townhouse
JLT,4808,5,4,"Parking, Gym, Kids Area, Maid Room, Security, Smart Home",Semi-Furnished,Street,Emaar,2004,3,267767,4215953,Villa
JLT,975,2,2,"Pool, Parking, Security",Unfurnished,Park,Meraas,2014,2,62792,1312615,Apartment
Business Bay,1480,1,1,"Parking, Maid Room, Pet Friendly",Semi-Furnished,Street,Sobha,2007,3,92071,1557179,Apartment
Business Bay,1106,1,2,"Pool, Gym, Maid Room, Balcony, Kids Area",Semi-Furnished,City,Sobha,2023,3,59352,980943,Apartment
The Springs,697,3,3,"Security, Smart Home, Balcony",Unfurnished,City,Azizi,2021,1,30329,542190,Apartment
Arabian Ranches,2684,4,5,"Kids Area, Security, Parking, Gym, Pet Friendly",Unfurnished,None,Sobha,2014,3,257903,4157760,Townhouse
Business Bay,1787,3,2,"Maid Room, Gym, Kids Area, Smart Home, Pet Friendly",Furnished,Street,Emaar,2016,1,112761,2230890,Apartment
JLT,469,1,2,"Gym, Balcony, Security",Unfurnished,Sea,Meraas,2003,1,28517,649636,Apartment
Downtown,3224,2,2,"Smart Home, Pool, Kids Area, Balcony, Parking",Semi-Furnished,City,Damac,2005,1,145427,3473174,Townhouse
The Springs,523,2,2,"Smart Home, Pool, Balcony, Maid Room",Unfurnished,Street,Nakheel,2020,2,23132,411467,Apartment
The Springs,1717,1,1,"Pool, Gym, Smart Home, Pet Friendly, Security",Unfurnished,City,Sobha,2000,2,83271,1406366,Apartment
JVC,3591,4,5,"Pet Friendly, Gym, Security, Kids Area, Balcony",Semi-Furnished,Street,Sobha,2023,1,192973,4812402,Villa
Palm Jumeirah,1496,2,2,"Pet Friendly, Gym, Kids Area, Maid Room, Smart Home",Semi-Furnished,None,Damac,2002,2,95318,1957310,Apartment
Business Bay,480,2,3,"Security, Pet Friendly, Gym, Kids Area",Unfurnished,City,Sobha,2002,3,23033,504185,Apartment
JVC,1874,3,2,"Pet Friendly, Pool, Maid Room, Security, Parking, Balcony",Unfurnished,Street,Emaar,2001,2,88821,1395836,Apartment
JVC,833,3,4,"Maid Room, Parking, Kids Area, Security, Pool, Gym",Furnished,Park,Sobha,2020,1,60591,897120,Apartment
JVC,1728,1,1,"Gym, Security, Pet Friendly, Maid Room",Semi-Furnished,None,Nakheel,2018,1,101069,2340126,Apartment
Palm Jumeirah,1660,1,1,"Pet Friendly, Kids Area, Maid Room, Smart Home",Unfurnished,Street,Damac,2003,3,85013,1926884,Apartment
Business Bay,4929,4,4,"Pool, Security, Maid Room",Semi-Furnished,Park,Meraas,2011,3,225027,4756515,Villa
JVC,1694,3,3,"Gym, Smart Home, Maid Room, Pet Friendly",Furnished,Park,Emaar,2022,3,96559,1990423,Apartment
Palm Jumeirah,3344,4,5,"Maid Room, Smart Home, Balcony, Pool, Kids Area",Unfurnished,Sea,Azizi,2005,3,297796,4346824,Villa
JLT,409,3,2,"Pool, Maid Room, Security, Parking",Unfurnished,None,Nakheel,2014,3,24244,502031,Apartment
Business Bay,705,3,3,"Parking, Maid Room, Kids Area, Gym, Pet Friendly, Smart Home",Semi-Furnished,Park,Sobha,2008,2,56122,841386,Apartment
